Tagmar,Pathfinder,D&D,descrição,INT(tagmar),AUR(tagmar),CAR(tagmar),FOR(tagmar),FIS(tagmar),AGI(tagmar),PER(tagmar),Str (Pathinder),Dex (Pathinder),Con (Pathinder),Int (Pathinder),Wis (Pathinder),Cha (Pathinder),Str (D&D),Dex (D&D),Con (D&D),Int (D&D),Wis (D&D),Cha (D&d)
Aedra (2 cabeças),Hydra,hydra,"Única espécie de Hidra alada, a Aedra possui duas ou, raramente, três cabeças. A coloração das escamas destas criaturas normalmente é da cor do terreno em que ela vive, mais próxima a cor de areia se ela vive em desertos, ou mais escura se vive em vulcões.",irracional,0,-2,5,4,2,2,17,12,18,2,11,9,20.0,12.0,20.0,2.0,10.0,7.0
Aedra (3 cabeças),Hydra,hydra,"Única espécie de Hidra alada, a Aedra possui duas ou, raramente, três cabeças. A coloração das escamas destas criaturas normalmente é da cor do terreno em que ela vive, mais próxima a cor de areia se ela vive em desertos, ou mais escura se vive em vulcões. As aedras de três cabeças normalmente possuem uma coloração destacada na cabeça do meio, lembrando as cores de uma pirohidra.",irracional,0,-2,7,5,3,2,17,12,18,2,11,9,20.0,12.0,20.0,2.0,10.0,7.0
Águia Gigante Comum,Giant Eagle,giant-eagle,"O simples aparecimento de uma Águia Gigante é algo extremamente raro. Sua beleza deixa pasmo o mais indiferente dos mortais, tendo penugem marrom exceto na cabeça, que é branca. Os olhos destes seres têm um claro brilho de profunda inteligência.",2,3,2,3,3,2,2,18,17,12,10,15,11,16.0,17.0,13.0,8.0,14.0,10.0
Águia,Eagle,eagle,"Águias fazem seus ninhos no topo de montanhas. Após se acasalarem, estas aves permanecem juntas por toda a vida. Deste modo, cada ninho será guardado por duas águias. Águias possuem excelente visão e muita agilidade e velocidade em voo.",irracional,0,1,0,0,4,3,10,15,12,2,15,7,6.0,15.0,10.0,2.0,14.0,7.0
Árvore Maldita Maior,Hangman Tree,awakened-tree,"Essas horrendas criaturas são seres diabólicos que se alimentam do sangue fresco de suas vítimas. Possuem aparência de grandes árvores de tronco e galhos sinuosos, com poucas folhas secas e de cor escura, seus troncos possuem formas assustadoras de rostos humanos retorcidos e angustiados, como se estivessem sofrendo uma eterna tortura.",0,0,-3,4,1,1,2,25,8,23,7,12,10,19.0,6.0,15.0,10.0,10.0,7.0
Baleia Predadora,Crimson Whale,killer-whale,"Com uma cabeça desproporcional medindo quase um terço do tamanho do seu corpo. São exímias caçadoras e possuem dentes cônicos afiados e uma cauda devastadora. Medem entre 9 e 18 metros de comprimento e pesam entre 6.000 e 25.000kg, dependendo da espécie. Sua coloração varia entre o cinza e o negro com manchas brancas por todo o corpo, também dependendo da espécie.",irracional ,0,-1,7,6,2,3,36,7,21,2,13,6,19.0,10.0,13.0,3.0,12.0,7.0
Basilisco Original,Basilisk,basilisk,"Os Basiliscos Originais são criaturas irracionais imensas, que crescem muito rápido – do tamanho de pequenos pintos até cerca de 6 metros de comprimento em poucos dias. São compostos por um imenso corpo de serpente, que algumas raras vezes possui pernas de aspecto reptiliano, um par de asas de morcego com grande envergadura e força e uma cabeça de galo – o bico, no entanto, possui recortes que lembram uma serra formada por pequenos dentes. Entre as escamas amarronzadas do corpo, pequenas penas amarelas e vermelhas podem brotar.",irracional ,0,-1,4,2,2,1,16,8,15,2,13,11,16.0,8.0,15.0,2.0,8.0,7.0
Cão Comum,Dog,wild-dog,"Cães comuns podem ser treinados como: Guardas, recebendo Usar os Sentidos (5); Cães de Caça, recebendo Seguir Trilhas (8); e, por fim, Cães de Guerra, quando aprendem a atacar qualquer adversário escolhido pelo dono, recuar quando ordenado e a ignorar seus medos instintivos (fogo, seres fantásticos, criaturas sobrenaturais, etc.). Cada treinamento demora 5 meses.",irracional ,0,1,1,0,2,3,13,13,15,2,12,6,13.0,14.0,12.0,3.0,12.0,7.0
Cavaleiro Estígeo Comum,Cinder Knight,knight,"Um Cavaleiro Estígeo, quando não está envergando uma armadura, possui as feições ressecadas e sua pele é de uma palidez levemente acinzentada. Seus corpos geralmente se apresentam bastante caquéticos, porém não esqueléticos, com as partes musculares rijas, mas não contraídas, ao redor dos ossos. Um odor característico e peculiar, levemente almiscarado, exala de seu corpo, em virtude do uso da resina balsâmica. Apesar da aparência frágil e decadente, o cavaleiro possui grande força e agilidade, além de um certo grau de inteligência, e continua sendo um exímio guerreiro com as habilidades adquiridas até o nível quando ocorreu a transformação.",1,1,-3,5,4,4,2,24,16,18,11,12,11,16.0,11.0,14.0,11.0,11.0,15.0
Cavalo Comum,Horse,draft-horse,"Os Cavalos são animais mamíferos de grande porte e de natureza selvagem. Portadores de uma cauda muito curta, mas prolongada por longos pelos, os cavalos são reconhecidos também pelas orelhas curtas, eretas, e suas crinas pendentes. A dentição apresenta longos incisivos, cujo grau de desgaste indica a idade do animal, e grandes molares. Um grande casco envolve totalmente a última falange do único dedo em que termina cada membro. Os cavalos são herbívoros, granívoros e exímios corredores.",irracional,0,1,5,3,1,1,16,14,17,2,13,7,18.0,10.0,12.0,2.0,11.0,7.0
